id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1430118,Thu Apr 02 2015 19:49:54 GMT+1100 (AEDT),2015-04-02,2015-04-02 09:49:54 UTC,Brisbane,64271,eri,2015-04-27 13:14:35 UTC,2021-10-24 05:59:20 UTC,research,,http://www.inaturalist.org/observations/1430118,http://static.inaturalist.org/photos/1769942/medium.jpg,,"",Flowering around Osaka castle park,2,0,false,3,"3-24, Osakajo, Chuo-Ku, Osaka, Osaka, JP",34.6856533333,135.521745,,,,,,,,false,,,ユキヤナギ,Spiraea thunbergii,Thunberg's meadowsweet,Plantae,125791
2831862,2016-03-25 15:14:21,2016-03-25,2016-03-25 06:14:21 UTC,Tokyo,37749,harumkoh,2016-03-26 11:25:46 UTC,2019-03-05 15:04:24 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831862,https://inaturalist-open-data.s3.amazonaws.com/photos/3225360/medium.JPG,,"",The bird on the far left.,1,0,false,,"Osaka, Osaka, Japan",34.6862133333,135.524955,,,,,,,open,false,,,Hypsipetes amaurotis amaurotis,Hypsipetes amaurotis amaurotis,,Aves,320237
2831863,2016-03-25 15:14:21,2016-03-25,2016-03-25 06:14:21 UTC,Tokyo,37749,harumkoh,2016-03-26 11:26:52 UTC,2019-02-26 12:51:13 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831863,https://inaturalist-open-data.s3.amazonaws.com/photos/3225360/medium.JPG,,"",The ten smaller birds.,3,0,false,,"Osaka, Osaka, Japan",34.6862133333,135.524955,,,,,,,open,false,,,Moineau friquet,Passer montanus,Eurasian Tree Sparrow,Aves,13851
2831865,2016-03-25 15:14:21,2016-03-25,2016-03-25 06:14:21 UTC,Tokyo,37749,harumkoh,2016-03-26 11:27:20 UTC,2021-07-16 21:11:16 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831865,https://inaturalist-open-data.s3.amazonaws.com/photos/3225360/medium.JPG,,"",The big bird on the middle right.,3,0,false,,"Osaka, Osaka, Japan",34.6862133333,135.524955,,,,,,,open,false,,,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767
2831870,2016-03-25 16:10:25,2016-03-25,2016-03-25 07:10:25 UTC,Tokyo,37749,harumkoh,2016-03-26 11:29:43 UTC,2016-03-26 16:57:03 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831870,https://inaturalist-open-data.s3.amazonaws.com/photos/3225370/medium.JPG,,,"",1,0,false,,"Osaka, Osaka, Japan",34.6845966667,135.5255766667,,,,,,,,false,,,ヤダケ,Pseudosasa japonica,Arrow Bamboo,Plantae,167508
2831874,2016-03-25 16:23:20,2016-03-25,2016-03-25 07:23:20 UTC,Tokyo,37749,harumkoh,2016-03-26 11:31:35 UTC,2019-12-24 16:53:39 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831874,https://inaturalist-open-data.s3.amazonaws.com/photos/3225374/medium.JPG,,"",Ducks in the outer moat of Osaka castle.,2,0,false,,"Osaka, Osaka, Japan",34.6844466667,135.5221133333,,,,,,,open,false,,,Common Pochard,Aythya ferina,Common Pochard,Aves,7045
2831875,2016-03-25 16:12:06,2016-03-25,2016-03-25 07:12:06 UTC,Tokyo,37749,harumkoh,2016-03-26 11:34:59 UTC,2019-01-23 11:02:18 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831875,https://inaturalist-open-data.s3.amazonaws.com/photos/3225377/medium.JPG,,"","",2,0,false,,"Osaka, Osaka, Japan",34.6846066667,135.5253066667,,,,,,,open,false,,,Dusky Thrush,Turdus eunomus,Dusky Thrush,Aves,145087
2831923,2016-03-25 16:23:20,2016-03-25,2016-03-25 07:23:20 UTC,Tokyo,37749,harumkoh,2016-03-26 12:33:22 UTC,2019-12-24 16:53:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/2831923,https://inaturalist-open-data.s3.amazonaws.com/photos/3225374/medium.JPG,,"",Ducks in the outer moat of Osaka castle.,3,0,false,,"Osaka, Osaka, Japan",34.6844466667,135.5221133333,,,,,,,open,false,,,Tufted Duck,Aythya fuligula,Tufted Duck,Aves,7046
2840927,2016-03-27,2016-03-27,,Hawaii,176916,macha,2016-03-28 05:21:39 UTC,2019-11-10 00:59:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2840927,http://static.inaturalist.org/photos/3238397/medium.jpg,,"","",3,0,false,,Tennoji,34.657917,135.519362,2362,,,,2362,,open,false,,,Grey Heron,Ardea cinerea,Grey Heron,Aves,4954
2840952,2016-03-28,2016-03-28,,Osaka,176916,macha,2016-03-28 05:30:27 UTC,2017-03-14 14:40:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2840952,http://static.inaturalist.org/photos/3238436/medium.jpg,,"","",1,0,false,,Tennoji,34.657917,135.519362,2362,,,,2362,,open,false,,,Black-backed Wagtail,Motacilla alba lugens,Black-backed Wagtail,Aves,339962
