id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5044537,2016/09/30 10:30 AM +0900,2016-09-30,2016-09-30 01:30:00 UTC,Osaka,398475,belvedere04,2017-02-02 23:17:57 UTC,2019-10-12 08:19:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5044537,https://inaturalist-open-data.s3.amazonaws.com/photos/6180665/medium.jpg,,"","Japanese name: オオタカ, 大鷹、ootaka.
On the ground in a field along the  river Arakawa.",2,1,false,,"Tsukamotocho, Nishi Ward, Saitama, Saitama Prefecture 331-0060, Japan",35.8826003482,139.563022255,15,,,,15,,open,false,,,Northern Goshawk,Accipiter gentilis,Northern Goshawk,Aves,5108
5816770,2017/04/16 9:34 AM JST,2017-04-16,2017-04-16 00:34:00 UTC,Tokyo,398475,belvedere04,2017-04-18 09:06:30 UTC,2019-01-23 09:58:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5816770,https://inaturalist-open-data.s3.amazonaws.com/photos/7233888/medium.jpg,,"",Japanese name:Tsugumi ツグミ.,2,0,false,,"Kamiokubo, Sakura Ward, Saitama, Saitama Prefecture 338-0824, Japan",35.8527265515,139.597343802,15,,,,15,,open,false,,,Dusky Thrush,Turdus eunomus,Dusky Thrush,Aves,145087
6820969,2017/06/27 11:57 AM JST,2017-06-27,2017-06-27 02:57:00 UTC,Tokyo,398475,belvedere04,2017-06-27 12:39:08 UTC,2022-02-14 23:08:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6820969,https://inaturalist-open-data.s3.amazonaws.com/photos/8682915/medium.jpg,,"","Japanese name: Warunasubi, ワルナスビ, 悪茄子 (lit. bad egglant). Along the embankment of the Ara River 荒川.  It is an invasive species in Japan, ",1,0,false,,"Nishiasuma, Nishi Ward, Saitama, Saitama Prefecture 331-0061, Japan",35.9094736589,139.559342265,15,,,,15,,,false,,,Carolina horse-nettle,Solanum carolinense,Carolina horsenettle,Plantae,52899
6821045,2017/06/27 2:14 PM JST,2017-06-27,2017-06-27 05:14:00 UTC,Tokyo,398475,belvedere04,2017-06-27 12:55:02 UTC,2017-06-27 13:00:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6821045,https://inaturalist-open-data.s3.amazonaws.com/photos/8683034/medium.jpg,,"","Japanese name: Wasuregusa, ワスレグサ. In the wood of Akigase Park 秋ヶ瀬公園 along the Ara River 荒川.",1,0,false,,"Okuboryoke, Sakura Ward, Saitama, Saitama Prefecture 338-0826, Japan",35.8565353043,139.593320488,15,,,,15,,,false,,,orange day-lily,Hemerocallis fulva,orange day-lily,Plantae,126583
6828551,2017/06/27 13:30 PM JST,2017-06-27,2017-06-27 04:30:00 UTC,Tokyo,398475,belvedere04,2017-06-27 23:55:00 UTC,2017-07-06 14:52:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6828551,https://inaturalist-open-data.s3.amazonaws.com/photos/8693786/medium.jpg,,"","Japanese name: tsubame, ツバメ, 燕.",1,0,false,,"Futatsumiya, Nishi Ward, Saitama, Saitama Prefecture 331-0065, Japan",35.8910839827,139.5655167103,31,,,,31,,open,false,,,Barn Swallow,Hirundo rustica,Barn Swallow,Aves,11901
7601774,2017-08-22T15:32,2017-08-22,2017-08-22 05:32:00 UTC,Sydney,319583,julia_brotherton,2017-08-22 09:26:59 UTC,2019-03-14 07:36:35 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/7601774,https://static.inaturalist.org/photos/9932988/medium.jpeg,,"","",1,0,false,111,Japan,35.9342243088,139.7425581819,,,,,28620,obscured,,true,,,Agaricales,Agaricales,Common Gilled Mushrooms and Allies,Fungi,47167
7601775,2017-08-22T15:35,2017-08-22,2017-08-22 05:35:00 UTC,Sydney,319583,julia_brotherton,2017-08-22 09:27:07 UTC,2019-06-02 00:35:56 UTC,research,CC-BY,https://www.inaturalist.org/observations/7601775,https://static.inaturalist.org/photos/9932991/medium.jpeg,,"",Field Notes - Brown and white butterfly 6cm wing span,2,0,false,111,Japan,35.8228675808,139.7771620156,,,,,28620,obscured,,true,,,コミスジ(小三條),Neptis sappho,Pallas' Sailer,Insecta,125563
7601776,2017-08-22T15:38,2017-08-22,2017-08-22 05:38:00 UTC,Sydney,319583,julia_brotherton,2017-08-22 09:27:22 UTC,2019-03-14 07:36:21 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/7601776,https://static.inaturalist.org/photos/9933000/medium.jpeg,,"","",1,0,false,111,Japan,35.8836834978,139.7163346085,,,,,28620,obscured,,true,,,Agaricales,Agaricales,Common Gilled Mushrooms and Allies,Fungi,47167
7601778,2017-08-22T15:47,2017-08-22,2017-08-22 05:47:00 UTC,Sydney,319583,julia_brotherton,2017-08-22 09:27:37 UTC,2020-10-24 09:38:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/7601778,https://static.inaturalist.org/photos/9933006/medium.jpeg,,"","Habitat - Urban
Additional comments? - japanese crows/ravens
How many? - 5",2,0,false,111,Japan,35.8537715078,139.696392987,,,,,28620,obscured,open,true,,,Large-billed Crow,Corvus macrorhynchos,Large-billed Crow,Aves,8026
7601821,2017-08-22T15:30,2017-08-22,2017-08-22 05:30:00 UTC,Sydney,319583,julia_brotherton,2017-08-22 09:37:53 UTC,2018-11-14 03:52:13 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/7601821,https://static.inaturalist.org/photos/9933090/medium.jpeg,,"",Field Notes - Koi,1,0,false,111,Japan,35.9953475021,139.7940335195,,,,,28620,obscured,,true,,,Animals,Cyprinidae,Cyprinids,Actinopterygii,49609
9889321,2018/02/16 11:47 AM JST,2018-02-16,2018-02-16 02:47:00 UTC,Tokyo,398475,belvedere04,2018-02-17 07:39:23 UTC,2018-02-17 10:26:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9889321,https://inaturalist-open-data.s3.amazonaws.com/photos/13557368/medium.jpeg,,"","Japanese name: kawarahiwa, カワラヒワ, 河原鶸.",1,0,false,,"Sakura Ward, Saitama, Saitama Prefecture, Japan",35.8399250186,139.6096014977,31,,,,31,,open,false,,,Oriental Greenfinch,Chloris sinica,Oriental Greenfinch,Aves,145361
9889401,2018/02/16 11:56 AM JST,2018-02-16,2018-02-16 02:56:00 UTC,Tokyo,398475,belvedere04,2018-02-17 07:50:53 UTC,2019-01-23 11:01:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9889401,https://inaturalist-open-data.s3.amazonaws.com/photos/13557471/medium.jpeg,,"","Japanese name: tsugumi, ツグミ.
Extremely common in winter in parks and green areas in the city  and in the fields in the countryside. I meet this bird at each outing in winter.",2,0,false,,"Sakura Ward, Saitama, Saitama Prefecture, Japan",35.8532743971,139.597145319,15,,,,15,,open,false,,,Dusky Thrush,Turdus eunomus,Dusky Thrush,Aves,145087
9889480,2018/02/16 12:03 PM JST,2018-02-16,2018-02-16 03:03:00 UTC,Tokyo,398475,belvedere04,2018-02-17 08:16:15 UTC,2021-03-23 11:12:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9889480,https://inaturalist-open-data.s3.amazonaws.com/photos/13557643/medium.jpeg,,"","Japanese name: benimashiko,ベニマシコ, 紅猿子.
Female.",0,3,false,,"Sakura Ward, Saitama, Saitama Prefecture, Japan",35.8547406781,139.5952033997,8,,,,8,,open,false,,,Long-tailed Rosefinch,Carpodacus sibiricus,Long-tailed Rosefinch,Aves,558596
9889550,2018/02/16 1:10 PM JST,2018-02-16,2018-02-16 04:10:00 UTC,Tokyo,398475,belvedere04,2018-02-17 08:38:36 UTC,2018-02-17 10:24:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9889550,https://inaturalist-open-data.s3.amazonaws.com/photos/13557756/medium.jpeg,,"","Japanese name:  mozu, モズ.
Male",1,0,false,,"Sakura Ward, Saitama, Saitama Prefecture, Japan",35.8682386828,139.5812988281,15,,,,15,,open,false,,,Bull-headed Shrike,Lanius bucephalus,Bull-headed Shrike,Aves,12051
