日付,都道府県コード,都道府県名,各地の感染者数_1日ごとの発表数,各地の感染者数_累計,各地の死者数_1日ごとの発表数,各地の死者数_累計,各地の直近1週間の人口10万人あたりの感染者数
2020/1/16,01,北海道,0,0,0,0,
2020/1/17,01,北海道,0,0,0,0,
2020/1/18,01,北海道,0,0,0,0,
2020/1/19,01,北海道,0,0,0,0,
2020/1/20,01,北海道,0,0,0,0,
2020/1/21,01,北海道,0,0,0,0,
2020/1/22,01,北海道,0,0,0,0,0.0
2020/1/23,01,北海道,0,0,0,0,0.0
2020/1/24,01,北海道,0,0,0,0,0.0
2020/1/25,01,北海道,0,0,0,0,0.0
2020/1/26,01,北海道,0,0,0,0,0.0
2020/1/27,01,北海道,0,0,0,0,0.0
2020/1/28,01,北海道,1,1,0,0,0.02
2020/1/29,01,北海道,0,1,0,0,0.02
2020/1/30,01,北海道,0,1,0,0,0.02
2020/1/31,01,北海道,0,1,0,0,0.02
2020/2/1,01,北海道,0,1,0,0,0.02
2020/2/2,01,北海道,0,1,0,0,0.02
2020/2/3,01,北海道,0,1,0,0,0.02
2020/2/4,01,北海道,0,1,0,0,0.0
2020/2/5,01,北海道,0,1,0,0,0.0
2020/2/6,01,北海道,0,1,0,0,0.0
2020/2/7,01,北海道,0,1,0,0,0.0
2020/2/8,01,北海道,0,1,0,0,0.0
2020/2/9,01,北海道,0,1,0,0,0.0
2020/2/10,01,北海道,0,1,0,0,0.0
2020/2/11,01,北海道,0,1,0,0,0.0
2020/2/12,01,北海道,0,1,0,0,0.0
2020/2/13,01,北海道,0,1,0,0,0.0
2020/2/14,01,北海道,1,2,0,0,0.02
2020/2/15,01,北海道,0,2,0,0,0.02
2020/2/16,01,北海道,0,2,0,0,0.02
2020/2/17,01,北海道,0,2,0,0,0.02
2020/2/18,01,北海道,0,2,0,0,0.02
2020/2/19,01,北海道,2,4,0,0,0.06
2020/2/20,01,北海道,1,5,0,0,0.08
2020/2/21,01,北海道,3,8,0,0,0.11
2020/2/22,01,北海道,9,17,0,0,0.29
2020/2/23,01,北海道,9,26,0,0,0.46
2020/2/24,01,北海道,4,30,0,0,0.53
2020/2/25,01,北海道,5,35,0,0,0.63
2020/2/26,01,北海道,4,39,1,1,0.67
2020/2/27,01,北海道,15,54,1,2,0.93
2020/2/28,01,北海道,12,66,0,2,1.1
2020/2/29,01,北海道,4,70,0,2,1.01
2020/3/1,01,北海道,2,72,1,3,0.88
2020/3/2,01,北海道,5,77,0,3,0.9
2020/3/3,01,北海道,2,79,0,3,0.84
2020/3/4,01,北海道,3,82,0,3,0.82
2020/3/5,01,北海道,1,83,0,3,0.55
2020/3/6,01,北海道,7,90,0,3,0.46
2020/3/7,01,北海道,8,98,0,3,0.53
2020/3/8,01,北海道,3,101,0,3,0.55
2020/3/9,01,北海道,7,108,0,3,0.59
2020/3/10,01,北海道,3,111,0,3,0.61
2020/3/11,01,北海道,7,118,0,3,0.69
2020/3/12,01,北海道,10,128,1,4,0.86
2020/3/13,01,北海道,9,137,0,4,0.9
2020/3/14,01,北海道,7,144,0,4,0.88
2020/3/15,01,北海道,4,148,1,5,0.9
2020/3/16,01,北海道,4,152,1,6,0.84
2020/3/17,01,北海道,0,152,0,6,0.78
2020/3/18,01,北海道,2,154,0,6,0.69
2020/3/19,01,北海道,3,157,0,6,0.55
2020/3/20,01,北海道,1,158,0,6,0.4
2020/3/21,01,北海道,1,159,0,6,0.29
2020/3/22,01,北海道,3,162,0,6,0.27
2020/3/23,01,北海道,0,162,0,6,0.19
2020/3/24,01,北海道,1,163,0,6,0.21
2020/3/25,01,北海道,4,167,1,7,0.25
2020/3/26,01,北海道,1,168,0,7,0.21
2020/3/27,01,北海道,1,169,0,7,0.21
2020/3/28,01,北海道,3,172,0,7,0.25
2020/3/29,01,北海道,4,176,0,7,0.27
2020/3/30,01,北海道,1,177,0,7,0.29
2020/3/31,01,北海道,0,177,0,7,0.27
2020/4/1,01,北海道,5,182,0,7,0.29
2020/4/2,01,北海道,3,185,1,8,0.32
2020/4/3,01,北海道,5,190,0,8,0.4
2020/4/4,01,北海道,3,193,0,8,0.4
2020/4/5,01,北海道,1,194,0,8,0.34
2020/4/6,01,北海道,0,194,1,9,0.32
2020/4/7,01,北海道,4,198,0,9,0.4
2020/4/8,01,北海道,10,208,0,9,0.5
2020/4/9,01,北海道,18,226,1,10,0.78
2020/4/10,01,北海道,13,239,0,10,0.93
